counsellingType,year,round,institute,academicProgram,quota,seatType,gender,openingRankRaw,closingRankRaw,sourceLabel,sourceUrl
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9435,9974,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17730,17730,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1368,1497,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3136,3779,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8720,9267,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2045,2104,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4096,4096,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1160,1160,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7135,9362,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14537,18217,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,172,172,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1225,1448,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2705,2781,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2863,3687,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6933,7759,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1674,2089,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2465,3892,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,918,987,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1735,1735,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10181,13429,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
